Price,Min Nights,No of Reviews,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
82,5,452,3.15,2,226,1,2,3,black
165,3,356,2.37,2,109,1,1,0,rose
225,7,12,0.08,1,34,2,1,0,rose
225,3,328,2.3,2,87,2,1,0,rose
150,30,21,0.14,1,365,1,1,3,black
90,30,71,0.46,5,299,2,2,3,black
65,29,646,4.47,2,5,1,2,0,rose
300,2,323,2.32,1,246,1,1,3,black
139,2,25,0.2,1,64,2,2,0,rose
90,30,1,0.01,1,0,1,2,0,rose
95,30,177,1.24,2,365,2,2,3,black
180,30,59,0.4,1,365,1,1,3,black
90,30,0,0.0,1,0,2,2,0,rose
60,30,273,1.91,2,364,2,2,3,black
398,3,82,0.58,1,40,2,1,0,rose
199,3,225,1.59,1,3,1,2,0,rose
215,30,4,0.03,9,365,3,1,3,black
300,7,63,0.44,1,50,1,1,0,rose
65,30,34,0.24,1,151,1,2,0,rose
500,30,110,0.79,1,156,1,1,3,black
110,5,39,0.28,1,43,3,1,0,rose
75,30,38,0.28,2,365,1,2,3,black
195,31,38,0.26,1,62,1,1,0,rose
625,4,16,0.11,1,191,2,1,3,black
78,30,174,1.21,1,34,1,1,0,rose
120,30,90,0.65,1,151,2,1,0,rose
250,30,10,0.07,1,0,1,1,0,rose
200,30,57,0.41,1,88,2,1,0,rose
135,30,193,1.34,4,137,1,1,0,rose
65,30,92,0.65,1,304,2,1,3,black
111,3,257,1.73,4,35,1,2,0,rose
165,30,27,0.19,4,365,2,2,3,black
165,2,28,0.2,2,33,2,1,0,rose
125,30,3,0.06,1,0,1,2,0,rose
102,3,237,1.65,1,66,1,1,0,rose
135,30,145,1.07,2,7,2,1,0,rose
105,5,11,0.08,2,0,2,2,0,rose
130,30,165,1.11,4,334,1,1,3,black
81,2,76,0.55,4,1,2,2,0,rose
99,3,73,0.64,2,271,2,2,3,black
211,30,4,0.03,1,0,1,1,0,rose
70,1,62,0.45,4,2,2,2,0,rose
110,200,92,0.62,1,0,1,1,0,rose
150,30,27,0.41,2,363,1,2,3,black
477,2,543,3.8,3,140,1,1,3,black
95,4,228,1.53,1,202,1,1,3,black
315,3,158,1.08,2,100,2,1,0,rose
85,30,3,0.02,1,0,1,2,0,rose
650,6,51,0.56,1,100,2,1,0,rose
89,30,0,0.0,6,0,4,2,0,rose
97,2,56,0.47,7,364,4,1,3,black
150,7,28,0.22,1,101,2,1,0,rose
189,2,436,3.1,3,233,1,1,3,black
260,30,3,0.02,1,90,2,1,0,rose
135,30,268,1.81,2,0,2,1,0,rose
200,30,0,0.0,1,0,1,1,0,rose
120,5,83,1.22,3,102,3,1,0,rose
68,30,148,1.04,1,17,1,2,0,rose
250,31,193,1.37,1,0,1,1,0,rose
55,30,62,0.53,1,0,2,2,0,rose
100,3,308,2.08,1,0,2,2,0,rose
350,30,6,0.04,1,0,2,1,0,rose
250,5,27,0.26,1,0,2,1,0,rose
100,30,46,0.31,1,334,2,2,3,black
110,30,118,0.84,1,152,2,1,0,rose
65,30,252,1.74,2,281,2,2,3,black
70,7,260,1.75,2,19,1,2,0,rose
150,30,47,0.33,1,17,1,1,0,rose
170,3,124,0.89,1,147,2,1,0,rose
199,1,15,0.1,3,338,1,1,3,black
302,4,36,0.28,1,39,2,1,0,rose
45,7,165,1.17,1,142,4,2,0,rose
85,10,56,0.38,1,0,2,1,0,rose
85,30,98,0.69,2,34,2,1,0,rose
