Price,Min Nights,No of Reviews,Latitude,Longitude,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
73,30,256,40.68769,-73.91788,1.76,1,331,2,1,0,gray
120,3,69,40.68022,-73.97457,0.46,3,278,2,2,0,gray
179,1,26,40.73777,-73.95366,0.19,30,141,2,4,3,black
85,2,65,40.83253,-73.94108,0.86,2,363,1,2,0,gray
104,30,25,40.6829,-73.95701,0.17,5,264,2,2,0,gray
200,30,148,40.76967,-73.94831,1.06,1,365,1,2,0,gray
154,5,234,40.66913,-73.99041,1.56,3,161,2,1,3,black
195,4,235,40.74261,-74.00353,1.61,1,233,1,2,0,gray
166,30,167,40.71985,-73.98781,1.16,1,0,1,1,3,black
130,14,0,40.77449,-73.95308,0.0,2,0,1,2,3,black
150,30,240,40.67823,-73.94719,1.7,4,365,2,1,0,gray
95,30,1,40.73808,-73.98001,0.01,1,0,1,2,3,black
105,30,61,40.71802,-73.95724,0.38,1,237,2,1,0,gray
169,3,54,40.77868,-73.90652,0.36,1,11,3,1,3,black
80,30,168,40.70967,-73.95922,1.11,1,0,2,1,3,black
429,21,81,40.71974,-73.98393,0.56,1,179,1,1,0,gray
130,30,33,40.71567,-73.87842,0.22,9,365,3,1,0,gray
129,2,150,40.68413,-73.93817,1.04,2,287,2,1,0,gray
88,30,85,40.79936,-73.96155,0.54,1,365,1,2,0,gray
193,30,6,40.70422,-73.89778,0.04,9,365,3,1,0,gray
350,30,16,40.71778,-73.87714,0.11,9,365,3,1,0,gray
99,30,3,40.82782,-73.9473,0.06,1,0,1,2,3,black
200,30,0,40.80255,-73.95803,0.0,1,365,1,2,0,gray
85,30,36,40.74187,-74.00223,0.23,2,364,1,2,0,gray
171,3,298,40.67747,-74.00146,1.91,3,351,2,1,0,gray
650,5,59,40.72961,-74.00308,0.46,2,88,1,1,3,black
100,1,44,40.67654,-73.94629,1.84,1,79,2,1,3,black
135,30,145,40.6736,-73.9551,1.0,1,352,2,1,0,gray
150,30,19,40.75077,-73.99657,0.13,1,217,1,1,0,gray
95,2,154,40.67908,-73.97405,1.02,3,278,2,2,0,gray
161,3,122,40.81182,-73.94631,0.82,4,306,1,1,0,gray
125,30,30,40.6867,-73.97469,0.21,1,153,2,1,3,black
220,30,93,40.67115,-73.98026,0.6,1,261,2,1,0,gray
65,30,62,40.67144,-73.76501,0.41,3,0,3,2,3,black
125,5,277,40.79934,-73.94236,1.84,1,169,1,2,0,gray
83,30,29,40.71649,-73.94865,0.25,1,0,2,1,3,black
130,30,117,40.66952,-73.99201,0.82,1,68,2,1,3,black
129,5,98,40.71065,-73.95087,0.84,2,16,2,2,3,black
100,1,190,40.8104,-73.94309,1.26,1,0,1,2,3,black
85,3,43,40.68701,-73.97555,0.29,1,3,2,2,3,black
175,60,38,40.71116,-73.95484,0.26,1,0,2,2,3,black
74,3,253,40.81201,-73.94452,1.7,4,45,1,2,3,black
149,3,126,40.772472,-73.906075,0.84,1,267,3,1,0,gray
335,7,146,40.71551,-73.96274,1.27,1,365,2,1,0,gray
599,1,9,40.73778,-73.95366,0.06,30,66,2,2,3,black
90,30,479,40.6686,-73.98723,3.09,3,64,2,1,3,black
249,5,281,40.69003,-73.99338,1.88,1,141,2,1,3,black
190,2,246,40.82682,-73.94948,1.75,1,289,1,1,0,gray
375,1,281,40.693047,-73.971985,1.95,1,0,2,1,3,black
250,4,129,40.76505,-73.98716,0.9,1,0,1,1,3,black
114,2,17,40.58603,-73.8145,0.12,1,89,3,2,3,black
100,30,25,40.72421,-73.98509,0.16,1,0,1,1,3,black
350,2,180,40.74166,-73.9866,1.25,1,58,1,1,3,black
82,5,452,40.82772,-73.95284,3.15,2,226,1,2,0,gray
165,3,356,40.80747,-73.94076,2.37,2,109,1,1,3,black
225,7,12,40.68615,-73.96769,0.08,1,34,2,1,3,black
225,3,328,40.72741,-73.95466,2.3,2,87,2,1,3,black
150,30,21,40.77827,-73.94669,0.14,1,365,1,1,0,gray
90,30,71,40.68288,-73.95646,0.46,5,299,2,2,0,gray
65,29,646,40.8238,-73.94444,4.47,2,5,1,2,3,black
300,2,323,40.80494,-73.94998,2.32,1,246,1,1,0,gray
139,2,25,40.65912,-73.9842,0.2,1,64,2,2,3,black
90,30,1,40.8069,-73.95372,0.01,1,0,1,2,3,black
95,30,177,40.69132,-73.97306,1.24,2,365,2,2,0,gray
180,30,59,40.71946,-73.98641,0.4,1,365,1,1,0,gray
90,30,0,40.6905,-73.97867,0.0,1,0,2,2,3,black
60,30,273,40.67582,-73.9518,1.91,2,364,2,2,0,gray
398,3,82,40.7167,-73.95014,0.58,1,40,2,1,3,black
199,3,225,40.72752,-73.98581,1.59,1,3,1,2,3,black
215,30,4,40.70271,-73.8993,0.03,9,365,3,1,0,gray
300,7,63,40.7178,-73.9932,0.44,1,50,1,1,3,black
65,30,34,40.82402,-73.95263,0.24,1,151,1,2,3,black
